Symbol,Sector,Subsector
MMM,Industrials,Industrial Conglomerates
ABT,Health Care,Health Care Equipment & Services
ABBV,Health Care,Pharmaceuticals
ACE,Financials,Property & Casualty Insurance
ACN,Information Technology,IT Consulting & Services
ACT,Health Care,Pharmaceuticals
ADBE,Information Technology,Application Software
ADT,Industrials,Diversified Commercial Services
AES,Utilities,Electric Utilities
AET,Health Care,Managed Health Care
AFL,Financials,Life & Health Insurance
AMG,Financials,Asset Management & Custody Banks
A,Health Care,Health Care Equipment & Services
GAS,Utilities,Gas Utilities
APD,Materials,Industrial Gases
ARG,Materials,Industrial Gases
AKAM,Information Technology,Internet Software & Services
AA,Materials,Aluminum
ALXN,Health Care,Biotechnology
ATI,Materials,Diversified Metals & Mining
ALLE,Industrials,Building Products
AGN,Health Care,Pharmaceuticals
ADS,Information Technology,Data Processing & Outsourced Services
ALL,Financials,Property & Casualty Insurance
ALTR,Information Technology,Semiconductors
MO,Consumer Staples,Tobacco
AMZN,Consumer Discretionary,Internet Retail
AEE,Utilities,Multi-Utilities & Unregulated Power
AEP,Utilities,Electric Utilities
AXP,Financials,Consumer Finance
AIG,Financials,Property & Casualty Insurance
AMT,Financials,REITs
AMP,Financials,Diversified Financial Services
ABC,Health Care,Health Care Distribution & Services
AME,Industrials,Electrical Components and Equipment
AMGN,Health Care,Biotechnology
APH,Industrials,Electrical Components & Equipment
APC,Energy,Oil & Gas Exploration & Production
ADI,Information Technology,Semiconductors
AON,Financials,Insurance Brokers
APA,Energy,Oil & Gas Exploration & Production
AIV,Financials,REITs
AAPL,Information Technology,Computer Hardware
AMAT,Information Technology,Semiconductor Equipment
ADM,Consumer Staples,Agricultural Products
AIZ,Financials,Multi-line Insurance
T,Telecommunications Services,Integrated Telecommunications Services
ADSK,Information Technology,Application Software
ADP,Information Technology,Internet Software & Services
AN,Consumer Discretionary,Specialty Stores
AZO,Consumer Discretionary,Specialty Stores
AVGO,Information Technology,Semiconductors
AVB,Financials,REITs
AVY,Materials,Paper Packaging
AVP,Consumer Staples,Personal Products
BHI,Energy,Oil & Gas Equipment & Services
BLL,Materials,Metal & Glass Containers
BAC,Financials,Banks
BK,Financials,Banks
BCR,Health Care,Health Care Equipment & Services
BAX,Health Care,Health Care Equipment & Services
BBT,Financials,Banks
BDX,Health Care,Health Care Equipment & Services
BBBY,Consumer Discretionary,Specialty Stores
BRK.B,Financials,Multi-Sector Holdings
BBY,Consumer Discretionary,Computer & Electronics Retail
BIIB,Health Care,Biotechnology
BLK,Financials,Diversified Financial Services
HRB,Financials,Consumer Finance
BA,Industrials,Aerospace & Defense
BWA,Consumer Discretionary,Auto Parts & Equipment
BXP,Financials,REITs
BSX,Health Care,Health Care Equipment & Services
BMY,Health Care,Health Care Distributors & Services
BRCM,Information Technology,Semiconductors
BF.B,Consumer Staples,Distillers & Vintners
CHRW,Industrials,Air Freight & Logistics
CA,Information Technology,Systems Software
CVC,Consumer Discretionary,Broadcasting & Cable TV
COG,Energy,Oil & Gas Exploration & Production
CAM,Energy,Oil & Gas Equipment & Services
CPB,Consumer Staples,Packaged Foods & Meats
COF,Financials,Consumer Finance
CAH,Health Care,Health Care Distributors & Services
CFN,Health Care,Health Care Equipment & Services
KMX,Consumer Discretionary,Specialty Stores
CCL,Consumer Discretionary,Hotels Resorts & Cruise Lines
CAT,Industrials,Construction & Farm Machinery & Heavy Trucks
CBG,Financials,Real Estate Management & Development
CBS,Consumer Discretionary,Broadcasting & Cable TV
CELG,Health Care,Biotechnology
CNP,Utilities,Multi-Utilities & Unregulated Power
CTL,Telecommunications Services,Integrated Telecommunications Services
CERN,Health Care,Health Care Distributors & Services
CF,Materials,Fertilizers & Agricultural Chemicals
SCHW,Financials,Diversified Financial Services
CHK,Energy,Integrated Oil & Gas
CVX,Energy,Integrated Oil & Gas
CMG,Consumer Discretionary,Restaurants
CB,Financials,Property & Casualty Insurance
CI,Health Care,Managed Health Care
XEC,Energy,Oil & Gas Exploration & Production
CINF,Financials,Property & Casualty Insurance
CTAS,Industrials,Diversified Commercial Services
CSCO,Information Technology,Networking Equipment
C,Financials,Banks
CTXS,Information Technology,Internet Software & Services
CLX,Consumer Staples,Household Products
CME,Financials,Diversified Financial Services
